SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g		ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	ViableFluorRep1	TotalFluorRep1	ViableFluorRep2	TotalFluorRep2	ViableFluorRep3	TotalFluorRep3	ViableFluorAvg	TotalFluorAvg	PerViableSpores	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
Pan47	221208011	221208_011	Colostethus panamansis	7/28/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		318	10	3.18E+04	100	0.003144654	304	292	10	10	4	1.22E+05	1.17E+05	0.960526316	0.039473684	55627	56188	58409	58998	61330	61948	58455.33333	59044.66667	0.990018856	1.36E+05	1.33E+05	1.37E+05	1.36E+05	1	TRUE	77626.09375	64.212	133256.6422	-83815.69846	133256.6422	0	19.6	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan43	221208015	221208_015	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		320	40	3.20E+04	400	0.0125	306	287	10	10	4	1.22E+05	1.15E+05	0.937908497	0.062091503	20195	20398	21205	21418	22266	22489	21222	21435	0.990062981	1.36E+05	1.33E+05	1.37E+05	1.35E+05	1	TRUE	17666.02734	55.602	-5014.191176	-83815.6983	0	0	19.1	8.65217	-80.59049	23.8875008	7.6583333	81.4716339	54.3191261	28.8999996	19.5	9.39999962	23.4833336	24.3166656	24.7000008	23.3833332	2496	446	25	60.0795937	1027	162	344	593	619
Pan16	221208006	221208_006	Colostethus panamansis	7/26/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		212	14	2.12E+04	140	0.006603774	307	252	10	10	4	1.23E+05	1.01E+05	0.820846906	0.179153094	67759	68443	71147	71866	74705	75460	71203.66667	71923	0.989998563	1.34E+05	1.31E+05	1.35E+05	1.33E+05	1	FALSE	0	26.844	180603.4559	-83815.69853	180603.4559	0	20	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan8	221208013	221208_013	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		252	10	2.52E+04	100	0.003968254	308	281	10	10	4	1.23E+05	1.12E+05	0.912337662	0.087662338	20795	21005	21835	22056	22927	23159	21852.33333	22073.33333	0.989987919	1.36E+05	1.33E+05	1.37E+05	1.36E+05	1	TRUE	2862.190674	27.588	-2667.377451	-83815.69857	0	0	20.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan28	221208018	221208_018	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		559	10	5.59E+04	100	0.001788909	308	280	10	10	4	1.23E+05	1.12E+05	0.909090909	0.090909091	60840	61454	63882	64527	67077	67754	63933	64578.33333	0.990006968	1.36E+05	1.34E+05	1.38E+05	1.36E+05	1	TRUE	751.9414673	16.26	153601.0049	-83815.6985	153601.0049	0	22.5	8.68678	-79.92707	22.9041672	7.4083333	81.4102707	53.8287926	27.7999992	18.7000008	9.09999847	22.5333328	23.0499992	23.7166672	22.416666	2589	435	22	66.59021	1064	84	448	924	619
Pan20	221208008	221208_008	Colostethus panamansis	7/26/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		425	10	4.25E+04	100	0.002352941	309	289	10	10	4	1.24E+05	1.16E+05	0.935275081	0.064724919	60139	60746	63146	63784	66304	66974	63196.33333	63834.66667	0.990000209	1.39E+05	1.36E+05	1.40E+05	1.38E+05	1	TRUE	1183.729614	88.842	150866.9363	-83815.69853	150866.9363	0	20.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan32	221208005	221208_005	Colostethus panamansis	7/25/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		122	20	1.22E+04	200	0.016393443	310	264	10	10	4	1.24E+05	1.06E+05	0.851612903	0.148387097	62447	63077	65570	66231	68849	69543	65622	66283.66667	0.990017651	1.31E+05	1.28E+05	1.32E+05	1.31E+05	1	FALSE	0	175.296	159870.6127	-83815.69846	159870.6127	0	20.7	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan7	221210C004	221210_C004	Colostethus panamansis	11/18/22	Panama	El Cope	Guabal	N/A	Adult	NA	N/A	N/A		299	70	2.99E+04	700	0.023411371	315	275	10	10	4	1.26E+05	1.10E+05	0.873015873	0.126984127	22861	23091	24005	24246	25206	25459	24024	24265.33333	0.990054399	1.36E+05	1.33E+05	1.37E+05	1.36E+05	1	TRUE	582.5077515	28.152	5391.446078	-83815.69833	5391.446078	0	21.6	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
Pan15	221208016	221208_016	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		444	40	4.44E+04	400	0.009009009	315	248	10	10	4	1.26E+05	9.92E+04	0.787301587	0.212698413	21880	22101	22974	23207	24123	24368	22992.33333	23225.33333	0.989967851	1.43E+05	1.40E+05	1.44E+05	1.42E+05	1	FALSE	0	NA	1567.916667	-83815.69865	1567.916667	0	24	8.65217	-80.59049	23.8875008	7.6583333	81.4716339	54.3191261	28.8999996	19.5	9.39999962	23.4833336	24.3166656	24.7000008	23.3833332	2496	446	25	60.0795937	1027	162	344	593	619
N/A	N/A	240804_D009	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		200	217	2.00E+04	2170	0.1085	306	337	10	10	4	1.22E+05	1.35E+05	1.10130719	-0.10130719	71022	79325	77131	22875	56532	47997	68228.33333	50065.66667	1.362776886	6.66E+05	9.39E+06	7.11E+06	5.72E+06	1	TRUE	19.39220428	NA	100245.6127	-83814.32803	100245.6127	0	19.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
