SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g	ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	TotalFluorRep1	TotalFluorRep2	TotalFluorRep3	AvgFluorTotal	ViableFluorRep1	ViableFluorRep2	ViableFluorRep3	AvgFluorVia	PerViableSpores	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
N/A	N/A	BR_247_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	26.6	1.88	33.00	168.00	33000.00	1680	0.050909091	311	323	10	10	4	124400	95373	0.766663987	0.233336013	27164.40432	25510.41221	26491.18062	26388.66572	24682.98627	23896.62739	24238.2281	24272.61392	0.919812096	13201	5422	13201	5422	106732.00	159140.00	160874.00	1.42E+05	1	NA	NA	NA	18.2	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_102	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	19.95	1	28.00	22.00	28000.00	220	0.007857143	311	257	10	10	4	124400	117143	0.941663987	0.058336013	24463.99072	24545.74931	24493.11504	24500.95169	21872.70401	23351.3811	22464.96198	22563.01569	0.920903644	6261	-864	6261	0	137693.00	101021.00	129606.00	1.23E+05	1	NA	NA	58.5	18.3	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_193_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	28.03	1.66	54.00	58.00	54000.00	580	0.010740741	313	353	10	10	4	125200	115114	0.919440895	0.080559105	24021.39662	24477.65281	24037.91694	24178.98879	22798.45036	22193.9709	23219.18131	22737.20086	0.940370214	5078	-224	5078	0	145708.00	134853.00	119472.00	1.33E+05	1	NA	NA	NA	18.3	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_188_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	28.5	1.56	25.00	94.00	25000.00	940	0.0376	315	371	10	10	4	126000	102200	0.811111111	0.188888889	23957.45017	24122.84633	24788.92761	24289.74137	21361.87086	22028.19132	23987.52775	22459.19664	0.924637126	5485	-1246	5485	0	119123.00	122150.00	117901.00	1.20E+05	1	NA	NA	66.384	18.7	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_187_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	21.85	1.2	44.00	596.00	44000.00	5960	0.135454545	317	273	10	10	4	126800	101088	0.797223975	0.202776025	25152.37859	24413.14238	24951.58615	24839.03571	23673.6528	24029.20122	22370.01061	23357.62154	0.940359433	7504	2058	7504	2058	180921.00	136421.00	121143.00	1.46E+05	1	NA	NA	81.51	18.8	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_104	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	23.75	1.38	63.00	136.00	63000.00	1360	0.021587302	318	350	10	10	4	127200	101053	0.794441824	0.205558176	24805.34412	25421.95533	24755.02642	24994.10863	23677.12958	24170.52601	22115.18407	23320.94655	0.933057742	8074	1923	8074	1923	174518.00	148184.00	143935.00	1.56E+05	1	NA	NA	37.62	19	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_246_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	25.65	1.82	49.00	104.00	49000.00	1040	0.02122449	323	285	10	10	4	129200	106590	0.825	0.175	24598.15095	24686.82078	25524.63447	24936.5354	22321.26352	23236.93543	22876.84469	22811.68122	0.914789519	7863	51	7863	51	106600.00	155696.00	159015.00	1.40E+05	1	NA	NA	NA	19.1	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_216_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	27.55	2.01	30.00	556.00	30000.00	5560	0.185333333	324	227	10	10	4	129600	111600	0.861111111	0.138888889	25091.89325	24509.87369	25281.32823	24961.03172	24065.47859	22379.15638	24791.9764	23745.53712	0.951304313	7953	3484	7953	3484	115612.00	109899.00	134742.00	1.20E+05	1	NA	NA	41.508	19.2	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_189_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	19	0.63	34.00	278.00	34000.00	2780	0.081764706	325	285	10	10	4	130000	109417	0.841669231	0.158330769	25085.44797	25883.1681	25310.6999	25426.43866	23296.19163	23492.93008	22878.96269	23222.6948	0.913328646	9664	1562	9664	1562	147992.00	124661.00	173029.00	1.49E+05	1	NA	NA	104.322	19.2	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_225_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	29.93	2.39	23.00	57.00	23000.00	570	0.024782609	326	236	10	10	4	130400	106856	0.819447853	0.180552147	24452.51395	24802.13134	24348.22532	24534.2902	24053.27772	22620.74968	22966.27041	23213.4326	0.946162796	6384	1528	6384	1528	122533.00	107338.00	122559.00	1.17E+05	1	NA	NA	NA	19.2	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
