capture_id	taxon_capture	sample_id_amp	sample_name_amp	total_peptides_ug	date	site	region	country	body_temp_c	substrate_temp_c	microhabitat_detailed	water_temp_c	p_h	tds_ppm	salinity_ppt	soil_moisture_m3_m3	cloud_cover_percent	dissolved_o2_percent	d1_percent_cover	vegetation_cover_percent	air_pressure_mbar	environmental_latitude	environmental_longitude	site_elevation_m
4a81f850-e23a-460e-887d-16da10afc4a2	lithobates_sphenocephalus	NA	NA	NA	2018-02-15	deer	tennessee	usa	17	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c1fdc95e-e9e3-4328-93c4-d13382e9717a	acris_blanchardi	NA	NA	NA	2017-07-18	kisatchie_bayou	louisiana	usa	27.1	27.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
e48fb112-0dbb-4d38-82e7-cab1c90061ea	rana_pipiens	NA	NA	NA	2018-06-29	hatchery	pennsylvania	usa	26.3	27.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dd5903d4-61b9-4e70-9f69-455d1d80b59b	notophthalmus_viridescens	NA	NA	NA	2018-07-13	newt	tennessee	usa	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a104359-c9db-4389-98b3-44794e94ebff	rana_sierrae	NA	NA	NA	2024-08-22	10223	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3495
12ae8d6e-9cef-46f8-8745-346b09c78e68	craugastor_crassidigitus	NA	NA	NA	2015-12-14	rio_blanco	el_cope	panama	NA	NA	ll	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	685
3455cc40-3728-4e60-ad4b-8746c4f0a514	rana_sierrae	NA	NA	NA	2023-08-10	72996	california	usa	11	11.2	water bottom	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3176
e18e491f-fdbf-48a7-ab25-ad6d550078e4	lithobates_warszewitschii	NA	NA	NA	2015-06-23	rio_marta	el_cope	panama	NA	NA	rock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	398
2c3c3a18-2483-4dc3-bffb-fca2ffd7c44b	colostethus_panamansis	NA	NA	NA	2013-12-11	rio_tigrero	el_cope	panama	NA	22	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	467
5a6d6baa-d315-4e3a-933b-6be553d40ca2	rana_pipiens	NA	NA	NA	2017-03-27	cow_pit	pennsylvania	usa	11.4	10.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
790e5a3b-f30f-42b0-ae09-5474e5ce202e	hyla_versicolor	NA	NA	NA	2024-05-06	rv_pond	pennsylvania	usa	16.1	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1aee6ce3-e134-485f-90dc-06473f15dcd8	rana_pipiens	NA	NA	NA	2019-07-06	hatchery	pennsylvania	usa	23.3	23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6ea2a850-8aeb-4ec2-84a4-45187f6b8985	rana_sierrae	NA	NA	NA	2023-08-10	72996	california	usa	15	14	grass	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3176
3de43d3d-b6c8-4c1f-a1d0-7dcdceae43f3	rana_sierrae	NA	NA	NA	2024-08-22	10206	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3388
9cfdfeeb-0abb-434d-8504-1f1c573d75e5	rhaebo_haematiticus	NA	NA	NA	2015-06-12	mata_ahogado	el_valle	panama	25.7	25.9	mossy roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	237
3032c5f1-cfb9-441e-965b-10fd6a6bffe9	lithobates_sphenocephalus	NA	NA	NA	2018-02-06	horse_head_ephemeral	louisiana	usa	18.2	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f70a8d3e-b8d1-44b2-872c-8251b7719853	rana_sierrae	9bdf8e46-16ec-52f5-97ec-275a583d1a78	BII0061	14.622	2022-08-10	52127	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3554
0163f278-0775-4b9b-8bec-abe8f3f9e7cc	lithobates_sphenocephalus	NA	NA	NA	2019-03-13	pine	tennessee	usa	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
093dbaf8-a2a2-48b4-bfa6-ffb34ee1ca1e	rana_catesbeiana	6092a0bc-8df2-460c-a9ee-fbc490af1865	AMPBath00053	1364.55	2022-07-18	tuttle_pond	pennsylvania	usa	20.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90304f35-d690-467d-8779-c097dc4dd57b	rana_pipiens	NA	NA	NA	2017-07-11	hatchery	pennsylvania	usa	22.6	22.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2e1eb7b3-cc05-4d1f-a317-120cb5a737fd	lithobates_warszewitschii	97494031-c926-5e5d-ab13-be8c47ae8ec9	230804_D026	81.828	2023-08-04	altos_de_piedra	santa_fe	panama	24.1	24.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	751
2f4dd9bd-7108-5c38-a47f-01b4329b0ae2	rana_catesbeiana	NA	NA	NA	2024-07-02	tuttle_pond	pennsylvania	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8786c208-f1b7-4f85-8c32-8be002976730	rana_sierrae	NA	NA	NA	2022-08-29	10225	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3493
95683755-b8d9-4476-9446-48b08e46faf9	rana_catesbeiana	NA	NA	NA	2022-06-28	vorisek_pond	pennsylvania	usa	21.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81aad76c-1eba-4dc6-8975-1a4abc63d052	espadarana_prosoblepon	NA	NA	NA	2016-07-16	alleman	fortuna	panama	NA	NA	leaf 2 m high	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1148
a3db6059-0f9d-47ac-b4ac-449bd8d77225	lithobates_chiricahuensis	NA	NA	NA	2018-08-01	johnson_tank	new_mexico	usa	25.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a3631bdd-7514-47bf-ba7d-e8e9d7211c0b	lithobates_chiricahuensis	NA	NA	NA	2018-08-01	johnson_tank	new_mexico	usa	21.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9ad490d6-86df-45c3-b871-4418a1110462	NA	NA	NA	NA	2015-12-03	campana_loop	altos_de_campana	panama	NA	NA	ll	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	701
9ef84e81-0631-44be-98bc-79d28580a0e8	rana_sierrae	NA	NA	NA	2024-08-21	10206	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3388
e434c1a4-3cdf-400d-832e-334ab954d9ee	lithobates_warszewitschii	NA	NA	NA	2016-07-04	rio_marta	el_cope	panama	NA	NA	stream	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	398
d20090c7-1a14-46d5-b48e-becb37a56df7	rhaebo_haematiticus	NA	NA	NA	2015-12-08	mata_ahogado	el_valle	panama	27.8	28.2	rock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	237
860919da-f1b6-43f6-a5d1-424d7e1ab6bc	lithobates_warszewitschii	d3a6c98e-4892-5292-ad29-85df6684ccb3	221212_018	21.222	2022-12-12	hotel_campestre	el_valle	panama	20.5	20.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	615
c99b2104-0c64-44a2-a45f-8fa7f74ff2f8	lithobates_sphenocephalus	NA	NA	NA	2017-07-31	sink	tennessee	usa	23	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
226f056b-239a-439c-b705-72e14011582d	rana_pipiens	NA	NA	NA	2018-08-07	hatchery	pennsylvania	usa	23.1	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65a70df2-3f9c-4da9-8573-1bb82c3f4747	lithobates_warszewitschii	NA	NA	NA	2015-06-15	rio_maria	el_valle	panama	NA	20.8	ll	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	819
