"target_metric","term","estimate","std.error","p.value","conf.low","conf.high","significant"
"PerActive_Ratio","snout_vent_length",0.807619144438753,0.332393943586609,0.0167916413730314,0.148615822056505,1.466622466821,"*"
"PerActive_Ratio","precip_seasonality",6.56869775230749,2.88801440673593,0.0249513552659756,0.842928297573519,12.2944672070415,"*"
"PerActive_Ratio","body_mass_g",-0.427777857286945,0.194285272656653,0.0298463693621235,-0.812967306857388,-0.0425884077165024,"*"
"PerActive_Ratio","sexMale",0.655106006395782,0.349359515631646,0.0635225528965492,-0.0375332126672396,1.3477452254588,""
"PerActive_Ratio","long",2.57473942113422,1.60284698402356,0.111171183981709,-0.603060620419976,5.75253946268842,""
"PerActive_Ratio","temp_seasonality",14.4308984091225,9.7305385852981,0.141027678425423,-4.86084074559302,33.7226375638381,""
"PerActive_Ratio","annual_precip",7.10626396113629,4.89547177178701,0.149566317190229,-2.59948496865894,16.8120128909315,""
"PerActive_Ratio","sexUnknown",0.980997242641374,0.705081004237269,0.167039950608425,-0.416894425682305,2.37888891096505,""
"PerActive_Ratio","annual_mean_temp",-4.464581607441,4.19219010762189,0.289306702264384,-12.7760062356126,3.84684302073058,""
"PerActive_Ratio","life_stageJuvenile",-0.567082890358282,0.692954205623124,0.414990122220603,-1.94093200095557,0.80676622023901,""
"PerActive_Ratio","(Intercept)",-1.73603264740124,2.29180910237478,0.450434336937567,-6.27976709825873,2.80770180345625,""
"PerActive_Ratio","lat",-4.37229850590635,6.80310210083194,0.521811783870756,-17.8601101025269,9.11551309071417,""
"PerActive_Ratio","bd_presence",0.0858481195576849,0.202410163627465,0.67233088930861,-0.315449716603635,0.487145955719005,""
"Per_active","bd_presence",1.36267820957825,0.13482471483611,2.11990637497198e-18,1.09613898537261,1.62921743378389,"*"
"Per_active","(Intercept)",-1.16178026400043,0.877808019903236,0.187810609825519,-2.89714657952282,0.573586051521948,""
"Per_active","long",1.03887667029437,1.18117689729861,0.380612243904173,-1.29622913162254,3.37398247221128,""
"Per_active","sexMale",0.166289995421073,0.204776857613976,0.418129128375583,-0.238539822539567,0.571119813381713,""
"Per_active","precip_seasonality",0.606941829316515,0.9093437152351,0.505575396553632,-1.19076839532341,2.40465205395644,""
"Per_active","life_stageJuvenile",0.333084211913523,0.538671079690302,0.53734595463381,-0.731831607542842,1.39800003136989,""
"Per_active","snout_vent_length",0.134459676120822,0.232620289520436,0.564171172653208,-0.325414699127344,0.594334051368987,""
"Per_active","body_mass_g",-0.0776214492733348,0.139912936797283,0.579921444103919,-0.354219739695176,0.198976841148506,""
"Per_active","sexUnknown",-0.210848696853379,0.548198160204217,0.701097496083542,-1.29459890177245,0.872901508065697,""
"Per_active","annual_precip",-0.47266589236601,1.25891230762553,0.707885752138759,-2.96144927474013,2.01611749000811,""
"Per_active","annual_mean_temp",-0.390255579586336,1.58668120042277,0.806073079506739,-3.5270156071261,2.74650444795342,""
"Per_active","temp_seasonality",0.416808850557119,2.99149717731421,0.889387262621596,-5.4971761174358,6.33079381855004,""
"Per_active","lat",0.299489155326278,2.55019560300519,0.906680315892383,-4.74207283443128,5.34105114508384,""
"TotalNoSporesTbClCorrected","bd_presence",0.317682162359236,0.153681490690476,0.0405490803486047,0.0138643841929833,0.621499940525489,"*"
"TotalNoSporesTbClCorrected","body_mass_g",-0.300758020355501,0.159481358592348,0.0613720174699772,-0.616041740006884,0.0145256992958818,""
"TotalNoSporesTbClCorrected","snout_vent_length",0.464180856447403,0.265154893164855,0.0821893497363164,-0.0600122012156479,0.988373914110455,""
"TotalNoSporesTbClCorrected","sexUnknown",0.982184253302941,0.624869932462831,0.118233166345822,-0.253140792483583,2.21750929908946,""
