OTU ID	Pan12.DNA	Pan1.RNA	Pan10.DNA	Pan10.RNA	Pan12.RNA	Pan2.RNA	Pan19.DNA	Pan3.RNA	Pan14.DNA	Pan1.DNA	Pan11.DNA	Pan11.RNA	Pan13.DNA	Pan15.RNA	Pan15.DNA	Pan13.RNA	Pan31.DNA	Pan19.RNA	Pan23.DNA	Pan18.RNA	Pan16.RNA	Pan18.DNA	Pan17.DNA	Pan14.RNA	Pan17.RNA	Pan8.RNA	Pan2.DNA	Pan16.DNA	Pan20.RNA	Pan20.DNA	Pan7.RNA	Pan4.RNA	Pan21.RNA	Pan21.DNA	Pan36.DNA	Pan22.DNA	Pan30.DNA	Pan29.DNA	Pan25.DNA	Pan28.RNA	Pan35.DNA	Pan26.DNA	Pan26.RNA	Pan33.RNA	Pan27.DNA	Pan6.RNA	Pan27.RNA	Pan30.RNA	Pan24.RNA	Pan5.RNA	Pan3.DNA	Pan39.RNA	Pan28.DNA	Pan33.DNA	Pan34.RNA	Pan32.RNA	Pan34.DNA	Pan31.RNA	Pan38.RNA	Pan29.RNA	Pan35.RNA	Pan4.DNA	Pan37.DNA	Pan9.DNA	Pan36.RNA	Pan5.DNA	Pan7.DNA	Pan6.DNA	Pan40.RNA	Pan37.RNA	Pan9.RNA	Pan38.DNA	Pan41.DNA	Pan44.DNA
8992381f7d3d5af45d162e2f4b38d01b	318.0	138.0	710.0	725.0	134.0	28.0	25.0	251.0	128.0	1.0	0.0	0.0	204.0	313.0	308.0	189.0	189.0	10.0	1.0	67.0	0.0	41.0	34.0	48.0	11.0	86.0	0.0	0.0	2.0	0.0	0.0	389.0	14.0	37.0	0.0	0.0	57.0	44.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	21.0	95.0	0.0	0.0	0.0	71.0	0.0	60.0	0.0	89.0	0.0	0.0	289.0	1.0	7.0	0.0	2.0	0.0	168.0	12.0	0.0	1.0	40.0	0.0	0.0
690ced5c102caf224e2eed48084170e6	127.0	0.0	47.0	47.0	84.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	10.0	0.0	121.0	0.0	21.0	0.0	0.0	0.0	3.0	2.0	0.0	99.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	23.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	34.0	0.0	0.0
e6922be77906565e6bae2a89da15d175	96.0	0.0	0.0	13.0	59.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	0.0	63.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
c4cc13ecdccd40f83ca5c4a420aa4caf	86.0	0.0	2.0	0.0	48.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	22.0	0.0	22.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
f16e76fa702ad84b81129a150d4c7eb1	66.0	0.0	3.0	3.0	31.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	11.0	0.0	56.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0
6711b16fa9242836dfbd450404c47f09	52.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2358c746806a7b006dd387adea6518c0	45.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2ce0179fe30dbc16a397f47765eedefb	41.0	0.0	6.0	0.0	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	17.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
2e5e47c24f37e75ec3a58456ac8e5f1c	39.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
ecfb91fa4534d2b77c0c9aad6f2f9302	36.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa7c4400559fa043d61cf2d28cbeddbe	35.0	0.0	5.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	25.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d569cf8a71662c9ccadc160279b1e27	34.0	2025.0	96.0	88.0	17.0	627.0	33.0	2389.0	720.0	1191.0	955.0	929.0	1144.0	42.0	38.0	938.0	20.0	24.0	43.0	341.0	7.0	303.0	125.0	312.0	63.0	35.0	297.0	7.0	24.0	14.0	791.0	2108.0	61.0	101.0	6.0	364.0	105.0	81.0	34.0	232.0	14.0	209.0	2020.0	3604.0	179.0	1408.0	482.0	467.0	0.0	97.0	609.0	3.0	15.0	1956.0	407.0	348.0	424.0	206.0	12.0	20.0	14.0	1663.0	20.0	19.0	0.0	22.0	504.0	1101.0	58.0	15.0	14.0	3.0	0.0	0.0
4458d1f6162dc677a4b91fe4b0e62a02	34.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
770b4d61443c2180bd6600bed00df928	33.0	0.0	4.0	5.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	47.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
0273fbca1b4ca4f7f197b3bf9d3f9745	31.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
